index,citations,year,Title,citations_average
535,2,1991,Markov Random Fields Can Bridge Levels of Abstraction,0.07407407407407407
537,31,1991,Temporal Adaptation in a Silicon Auditory Nerve,1.1481481481481481
538,20,1991,ANN Based Classification for Heart Defibrillators,0.7407407407407407
539,113,1991,HARMONET: A Neural Net for Harmonizing Chorales in the Style of J. S. Bach,4.185185185185185
540,10,1991,Neural Network Diagnosis of Avascular Necrosis from Magnetic Resonance Images,0.37037037037037035
541,3,1991,Recognition of Manipulated Objects by Motor Learning,0.1111111111111111
542,9,1991,Application of Neural Network Methodology to the Modelling of the Yield Strength in a Steel Rolling Plate Mill,0.3333333333333333
546,2,1991,Statistical Reliability of a Blowfly Movement-Sensitive Neuron,0.07407407407407407
547,26,1991,Reverse TDNN: An Architecture For Trajectory Generation,0.9629629629629629
548,36,1991,Gradient Descent: Second Order Momentum and Saturating Error,1.3333333333333333
549,62,1991,Direction Selective Silicon Retina that uses Null Inhibition,2.2962962962962963
551,22,1991,Simulation of Optimal Movements Using the Minimum-Muscle-Tension-Change Model,0.8148148148148148
553,20,1991,Some Approximation Properties of Projection Pursuit Learning Networks,0.7407407407407407
